,Iteration,Loss
0,10,2.3844792366027834
1,20,1.8618444919586181
2,30,1.3656401634216309
3,40,1.0837316811084747
4,50,1.0703907430171966
5,60,1.0553863048553467
6,70,0.9250838994979859
7,80,0.8741532564163208
8,90,0.9026179730892181
9,100,0.9400206983089447
10,110,0.8417784810066223
11,120,0.7982205867767334
12,130,0.817409235239029
13,140,0.8655516743659973
14,150,0.7882209599018097
15,160,0.7429891407489777
16,170,0.8495868384838104
17,180,0.6878972887992859
18,190,0.8767174124717713
19,200,0.8882427930831909
20,210,0.7709793090820313
21,220,0.7407659769058228
22,230,0.8311507344245911
23,240,0.760158371925354
24,250,0.7256027042865754
25,260,0.736795523762703
26,270,0.8316780149936676
27,280,0.8063277900218964
28,290,0.7813204228878021
29,300,0.722641897201538
30,310,0.764043802022934
31,320,0.7647250652313232
32,330,0.777835088968277
33,340,0.7359215557575226
34,350,0.8326812207698822
35,360,0.7849966406822204
36,370,0.7702542901039123
37,380,0.7792508482933045
38,390,0.7104323029518127
39,400,0.7414272367954254
40,410,0.7694783747196198
41,420,0.6459511280059814
42,430,0.7841541588306427
43,440,0.7146592497825622
44,450,0.7834604203701019
45,460,0.7101881384849549
46,470,0.7738020330667496
47,480,0.6728558897972107
48,490,0.7312210530042649
49,500,0.7163551390171051
50,510,0.7466768860816956
51,520,0.7960919380187989
52,530,0.7613060474395752
53,540,0.7756805181503296
54,550,0.7045508980751037
55,560,0.6505396246910096
56,570,0.7872899800539017
57,580,0.7256846249103546
58,590,0.7761393427848816
59,600,0.7441943645477295
60,610,0.6552163124084472
61,620,0.6903512060642243
62,630,0.858555543422699
63,640,0.7079525768756867
64,650,0.7277287840843201
65,660,0.7013031065464019
66,670,0.688060861825943
67,680,0.8103338360786438
68,690,0.6845867753028869
69,700,0.7045335054397583
70,710,0.7880164831876755
71,720,0.765374380350113
72,730,0.6121301829814911
73,740,0.7792087972164154
74,750,0.6369595170021057
75,760,0.730149844288826
76,770,0.736332255601883
77,780,0.6442734241485596
78,790,0.7142593204975128
79,800,0.69037064909935
80,810,0.6609555363655091
81,820,0.7049475610256195
82,830,0.7154160797595978
83,840,0.7495746910572052
84,850,0.6784075379371644
85,860,0.661405798792839
86,870,0.6363143205642701
87,880,0.7193159878253936
88,890,0.7505152881145477
89,900,0.7639194071292877
