,Iteration,Loss
0,10,2.4925767183303833
1,20,1.8392467379570008
2,30,1.3991088032722474
3,40,1.1110577702522277
4,50,0.9127346694469451
5,60,0.9538583755493164
6,70,0.9473323225975037
7,80,0.9932501554489136
8,90,0.812559312582016
9,100,0.8662494957447052
10,110,0.7906095385551453
11,120,0.8816684663295746
12,130,0.7509569644927978
13,140,0.7710406839847564
14,150,0.7883531272411346
15,160,0.7549251258373261
16,170,0.7621583461761474
17,180,0.8510982990264893
18,190,0.8107329785823822
19,200,0.7925253987312317
